<<<<<<< HEAD
Menjugate;MenC
(MenQuadfi);MenACWY
Menveo;MenACWY
Moderna Covid-19;Covid-19
(Mutagrip);Gripe
NeisVac-C;MenC
Nimenrix;MenACWY
(Pentavac);DTPa-VPI-Hib
Pneumovax 23;VNP
Prevenar 13;VNC
Priorix;SRP
(Priorix-Tetra);SRPVar
ProQuad;SRPVar
Rabipur;Rab
Rotarix;RV
RotaTeq;RV
Stamaril;FA
Synflorix;VNC
Tetraxim;DTPa-VPI
Triaxis;Tdpa
Trumenba;MenB
Twinrix Adultos y Pediátrico;HA-HB
Typhim Vi;FTI
Vacuna Antirrábica Mérieux;Rab
Vacuna BCG;BCG
Vaqta 25 y 50 unidades;HA
Varilrix;Var
Varivax;Var
Vaxelis;DTPa-VPI-Hib-HB
(Vaxigrip);Gripe
Vaxigrip Tetra;Gripe
Vaxzevria;Covid-19
Vivotif;FTO
=======
Menjugate;MenC
(MenQuadfi);MenACWY
Menveo;MenACWY
Moderna Covid-19;Covid-19
(Mutagrip);Gripe
NeisVac-C;MenC
Nimenrix;MenACWY
(Pentavac);DTPa-VPI-Hib
Pneumovax 23;VNP
Prevenar 13;VNC
Priorix;SRP
(Priorix-Tetra);SRPVar
ProQuad;SRPVar
Rabipur;Rab
Rotarix;RV
RotaTeq;RV
Stamaril;FA
Synflorix;VNC
Tetraxim;DTPa-VPI
Triaxis;Tdpa
Trumenba;MenB
Twinrix Adultos y Pediátrico;HA-HB
Typhim Vi;FTI
Vacuna Antirrábica Mérieux;Rab
Vacuna BCG;BCG
Vaqta 25 y 50 unidades;HA
Varilrix;Var
Varivax;Var
Vaxelis;DTPa-VPI-Hib-HB
(Vaxigrip);Gripe
Vaxigrip Tetra;Gripe
Vaxzevria;Covid-19
Vivotif;FTO
>>>>>>> refs/heads/master
